image_name,image_path,split,Fire,Smoke,Fire_Size,Fire_Hotspots
train_0001.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0001.jpg,train,no,no,no_fire,no_fire
train_0002.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0002.jpg,train,no,no,no_fire,no_fire
train_0003.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0003.jpg,train,no,no,no_fire,no_fire
train_0004.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0004.jpg,train,no,no,no_fire,no_fire
train_0005.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0005.jpg,train,no,no,no_fire,no_fire
train_0006.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0006.jpg,train,no,no,no_fire,no_fire
train_0007.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0007.jpg,train,no,no,no_fire,no_fire
train_0008.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0008.jpg,train,no,no,no_fire,no_fire
train_0009.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0009.jpg,train,no,no,no_fire,no_fire
train_0010.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0010.jpg,train,no,no,no_fire,no_fire
train_0011.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0011.jpg,train,no,no,no_fire,no_fire
train_0012.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0012.jpg,train,no,no,no_fire,no_fire
train_0013.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0013.jpg,train,no,no,no_fire,no_fire
train_0014.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0014.jpg,train,no,no,no_fire,no_fire
train_0015.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0015.jpg,train,no,no,no_fire,no_fire
train_0016.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0016.jpg,train,no,no,no_fire,no_fire
train_0017.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0017.jpg,train,no,no,no_fire,no_fire
train_0018.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0018.jpg,train,no,no,no_fire,no_fire
train_0019.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0019.jpg,train,no,no,no_fire,no_fire
train_0020.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0020.jpg,train,no,no,no_fire,no_fire
train_0021.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0021.jpg,train,no,no,no_fire,no_fire
train_0022.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0022.jpg,train,no,no,no_fire,no_fire
train_0023.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0023.jpg,train,no,no,no_fire,no_fire
train_0024.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0024.jpg,train,no,no,no_fire,no_fire
train_0025.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0025.jpg,train,no,no,no_fire,no_fire
train_0026.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0026.jpg,train,no,no,no_fire,no_fire
train_0027.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0027.jpg,train,no,no,no_fire,no_fire
train_0028.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0028.jpg,train,no,no,no_fire,no_fire
train_0029.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0029.jpg,train,no,no,no_fire,no_fire
train_0030.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0030.jpg,train,no,no,no_fire,no_fire
train_0031.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0031.jpg,train,no,no,no_fire,no_fire
train_0032.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0032.jpg,train,no,no,no_fire,no_fire
train_0033.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0033.jpg,train,no,no,no_fire,no_fire
train_0034.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0034.jpg,train,no,no,no_fire,no_fire
train_0035.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0035.jpg,train,no,no,no_fire,no_fire
train_0036.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0036.jpg,train,no,no,no_fire,no_fire
train_0037.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0037.jpg,train,no,no,no_fire,no_fire
train_0038.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0038.jpg,train,no,no,no_fire,no_fire
train_0039.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0039.jpg,train,no,no,no_fire,no_fire
train_0040.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0040.jpg,train,no,no,no_fire,no_fire
train_0041.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0041.jpg,train,no,no,no_fire,no_fire
train_0042.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0042.jpg,train,no,no,no_fire,no_fire
train_0043.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0043.jpg,train,no,no,no_fire,no_fire
train_0044.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0044.jpg,train,no,no,no_fire,no_fire
train_0045.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0045.jpg,train,no,no,no_fire,no_fire
train_0046.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0046.jpg,train,no,no,no_fire,no_fire
train_0047.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0047.jpg,train,no,no,no_fire,no_fire
train_0048.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0048.jpg,train,no,no,no_fire,no_fire
train_0049.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0049.jpg,train,no,no,no_fire,no_fire
train_0050.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0050.jpg,train,no,no,no_fire,no_fire
train_0051.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0051.jpg,train,no,no,no_fire,no_fire
train_0052.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0052.jpg,train,no,no,no_fire,no_fire
train_0053.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0053.jpg,train,no,no,no_fire,no_fire
train_0054.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0054.jpg,train,no,no,no_fire,no_fire
train_0055.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0055.jpg,train,no,no,no_fire,no_fire
train_0056.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0056.jpg,train,no,no,no_fire,no_fire
train_0057.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0057.jpg,train,no,no,no_fire,no_fire
train_0058.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0058.jpg,train,no,no,no_fire,no_fire
train_0059.jpg,D:\Abiyelunwen\new_fire_vlm\data\train\train_0059.jpg,train,no,no,no_fire,no_fire
